COMNID,DPAY_SETTLEMENT_AMOUNT_202406,DPAY_SETTLEMENT_AMOUNT_202407,DPAY_SETTLEMENT_AMOUNT_202408,DPAY_SETTLEMENT_AMOUNT_202409,DPOINTS_USE_202406,DPOINTS_USE_202407,DPOINTS_USE_202408,DPOINTS_USE_202409,DPOINTS_GIVE_202406,DPOINTS_GIVE_202407,DPOINTS_GIVE_202408,DPOINTS_GIVE_202409,DCARD_USE_AMOUNT_202406,CONTRACT,CONTRACT_PERIOD,GENDER,AGE
1,84770,92394,41867,59201,569,492,736,149,215,61,7,294,225003,1,3,2,40
2,27016,25980,91507,54923,795,467,745,569,291,347,221,350,60199,1,3,2,30
3,46185,43376,50561,103263,770,546,724,458,403,354,437,168,56658,1,2,2,56
4,91867,86201,62079,87075,153,147,241,579,288,146,440,456,186055,1,2,1,52
5,90257,52446,41586,66313,449,491,333,323,426,163,402,463,153923,1,3,2,34
6,99523,71627,17566,95171,353,169,413,767,341,72,8,199,93787,1,2,2,43
7,58488,994,76254,90594,767,375,323,157,316,283,193,317,23679,1,3,1,54
8,15249,63420,3169,70455,558,350,553,147,329,363,194,101,236962,1,1,2,49
9,79691,76011,97752,88951,523,602,529,621,461,189,162,350,121624,1,1,1,28
10,88054,72893,38779,143708,397,399,126,539,3,356,302,131,230192,1,3,1,56
11,66641,43985,63463,83068,619,281,625,360,216,485,199,443,107755,1,1,2,53
12,10464,31523,1241,53935,414,263,374,490,207,261,5,255,67532,1,2,2,24
13,46844,87896,721,149967,781,712,693,114,109,117,26,431,51889,1,3,2,42
14,28277,43219,66138,66252,721,368,167,491,87,153,230,111,167774,1,3,2,42
15,88713,84652,50339,133439,376,577,180,792,11,345,287,173,211644,1,1,1,33
16,14199,85489,50745,97464,260,547,470,389,405,402,482,138,30063,1,3,2,38
17,29699,59603,22145,64820,480,588,152,474,464,336,432,58,33717,1,1,1,51
18,88447,37101,97497,147890,152,679,602,781,127,122,110,126,185959,1,3,1,48
19,30958,46142,97653,138569,789,796,797,656,67,468,163,402,257617,1,1,2,56
20,3170,99429,71185,99847,455,430,459,654,328,4,333,473,129284,1,2,2,42
21,74635,34140,4725,71212,259,188,140,277,13,412,102,437,21499,1,2,1,67
22,60440,95668,89458,83207,686,419,105,267,192,484,368,86,221650,1,3,1,42
23,21447,61098,35487,136743,410,524,557,258,418,122,359,227,177245,1,2,1,22
24,73161,87380,58738,136314,235,231,268,141,43,85,303,80,210554,1,3,1,66
25,11468,50408,35937,79856,544,672,524,427,232,347,146,31,255702,1,1,1,50
26,27169,83643,69105,81946,644,215,714,455,392,478,388,494,99707,1,3,2,40
27,86543,12542,816,51599,544,112,136,524,269,356,348,352,87082,1,3,2,41
28,19522,50919,7069,102015,476,706,408,153,175,148,25,369,92599,1,2,1,60
29,53208,78067,72576,138158,694,209,748,497,221,341,357,155,231686,1,1,2,29
