COMNID,DPAY_SETTLEMENT_AMOUNT_202406,DPAY_SETTLEMENT_AMOUNT_202407,DPAY_SETTLEMENT_AMOUNT_202408,DPAY_SETTLEMENT_AMOUNT_202409,DPOINTS_USE_202406,DPOINTS_USE_202407,DPOINTS_USE_202408,DPOINTS_USE_202409,DPOINTS_GIVE_202406,DPOINTS_GIVE_202407,DPOINTS_GIVE_202408,DPOINTS_GIVE_202409,DCARD_USE_AMOUNT_202406,CONTRACT,CONTRACT_PERIOD,GENDER,AGE
1,91284.72318649913,100264.02540936496,111705.31699262795,89491.66908093859,315.90269273033886,313.7867630433199,323.9898002946144,313.86594623919206,164.39243534028688,164.09808425159744,205.42013976392298,181.78419512714072,118200.18769061436,1,2,1,45
2,78709.7497262684,64134.94843282632,63190.11079932423,99186.24879049123,362.151131916287,432.63565491688064,393.68447718684746,363.0469875991546,232.1496634311784,282.34217152275204,227.68945045711138,248.51786596214677,149607.81738712362,1,1,1,32
3,86543.14604632519,70121.38441586346,74075.21548727337,95158.9332662068,316.432796574032,353.740475953792,334.88701999355874,328.60533242196607,202.45033762502166,251.20599300708307,228.45737106979448,256.1972970263369,129591.45894761888,1,1,2,27
4,102306.27957474346,108326.27015728125,97019.57553785409,127516.48002884333,340.1414179021622,425.6524857168291,391.2527915086555,324.5155586655659,264.06165039487956,287.07920881488906,298.1698951932758,282.70999289184846,159231.14927634655,1,1,1,24
5,65994.78093716559,80002.24507458451,89586.48988297487,61647.7316519889,144.3132033019415,265.63195775657493,262.6417734861493,186.15784114623534,138.08524759610125,151.69149714384946,113.82713470019294,142.38903373509012,178990.16224447548,1,1,1,63
6,73781.13970955758,76839.95461909138,96390.4799373388,72237.87303658867,357.3269533607286,376.9566920943682,428.35519528224,395.8551813419041,336.54034706988676,308.79141526557413,291.5979450274678,319.9220254880215,232338.5609622881,1,3,2,32
7,105560.72014253639,123906.29868428694,102198.10286271622,133850.76688675125,384.8341628114171,366.82536285812523,402.04201288675347,393.4785997906696,-4.415964516314659,-33.049184740738596,49.07250757837278,31.970451496097933,169047.97477275878,1,3,2,48
8,88416.22013144424,99722.42132485486,89821.90222594349,85203.598846605,276.88726493921786,288.17750242927184,291.0892679326781,294.1670062483603,185.95543521576047,186.6820850679079,227.8766943045993,199.0049812752095,103176.93792827337,1,1,2,39
9,61542.1894056132,64972.02896270237,56582.741358750965,68341.02668475536,444.6599218654505,437.6063475432674,479.00295656022064,513.9581274124187,182.37239393576132,182.6823210480509,205.85377959811512,210.26638450853264,244947.6592172665,1,3,2,33
10,82002.86882666235,67596.99933032249,69111.52270629865,94701.47933509147,466.041666652703,503.46058469046756,513.7785068568729,547.6675092575945,311.38092464415183,308.6722679487955,287.6672601795453,326.6216223615225,118515.57424272082,1,3,2,51
11,67331.93710121697,68358.52380179857,79352.5865170703,55894.328373855955,205.90722020922416,222.23991000022806,233.47491803465377,178.5842078806607,211.5037268022773,246.03261992746857,258.2197006443812,229.64940167756066,179169.686168108,1,2,2,69
12,59108.213599158546,80964.99495117283,73361.6485641408,64478.2531492664,291.8002964316141,385.9054783662541,340.0658972688997,340.05720328635067,126.92904804623527,137.86270698152245,116.08408682101928,173.07189358732097,202851.60591874007,1,1,1,46
13,84813.58890026038,80918.76760464953,84965.10122340718,86528.79565870529,275.77797492036564,380.2261614837193,314.3102792147899,348.8456681935974,130.09238344207594,129.63015495682833,167.73497696877024,147.67291284432852,192111.32487985468,1,3,2,44
14,34065.17188776945,42017.597743621685,24933.716660883485,42434.62111927346,275.6941361111201,305.81584206674233,326.1394694517812,322.2992459608467,241.11590074288006,259.69735626998255,265.7343997982669,252.80999553723734,233832.74191353147,1,3,2,23
15,39753.463628480386,49715.24589280643,65181.123531683275,64706.92366229638,441.2576155372868,541.6072706776686,510.32555361406713,463.204079400424,223.15991268958834,265.9772176874918,243.11493279741958,258.5693780451419,208268.7121042541,1,1,1,40
16,57069.35962447777,58601.32567268239,62713.968558586865,91876.10733766435,343.17225572020556,425.26142493992575,407.5762221246342,373.29451925796343,199.7154464552344,231.85906089118365,205.44014070549792,224.2764051386137,131188.49179980444,1,2,1,37
17,54681.5479020997,65975.7365596997,66146.89469110924,46902.104513297854,337.07553497475567,360.02731909362114,377.08384565317795,351.10027622560807,175.37579444666375,225.91056522985565,194.84299972759882,183.4633164990719,300223.3429941194,1,1,1,58
18,79643.34193845268,102656.16455192254,68830.20978896879,87953.97443941783,165.07989816135026,139.3373032385578,168.4147190108131,187.0058426245598,295.6441855054539,278.98413390378073,291.15357992037474,283.83940250780137,194453.1709410464,1,2,1,34
19,56589.11549529345,60111.384970641724,59553.21621413533,71953.24311594726,451.9852721510644,457.0027514721008,445.18441144166803,427.2428521609074,188.86626002128202,233.7726302303053,193.64226894981041,214.14145035989978,174139.8472477633,1,3,1,57
20,54112.47046510362,40463.281754971154,55250.419448157176,74499.13796028213,243.47834393055888,256.7354965822986,293.9288802311946,272.63049586561624,227.04460127196384,257.43274557767444,210.550813693773,289.8410882329501,221221.10544641735,1,2,1,67
21,105201.46560738228,108646.96510821136,113237.87799507078,120090.32983818803,396.4673097584348,412.1884317810077,479.45763219883963,360.9092116874807,417.9699177667206,421.2511463651527,430.43153348336557,448.52018266641704,200625.71614858267,1,2,2,43
22,66511.17806954027,53240.632904180595,77340.25650910879,79848.17501415426,428.4947928223488,430.4145424020616,417.5160706498567,421.733657168975,96.86703865420682,95.60466275909127,153.99853808312625,131.14344805664993,202028.00663191127,1,1,1,27
23,72793.96454102563,84719.59673352464,87284.83399834375,91348.70207349795,523.164752604988,537.956389350842,549.7409899355092,498.60840891087213,94.0115060712562,120.92448048727766,117.77878313109804,53.469998712512194,297054.3659946652,1,3,1,47
24,49480.6922052997,56027.78005221665,37938.79080333533,61611.568790774756,249.80733078945903,284.82850232946373,252.4363833637067,275.32245094183094,284.15360038754716,300.84384658422096,307.43723597467346,314.32002787231175,165677.3131631153,1,1,1,40
25,70605.81196446346,85868.70844795197,71480.81677477226,55196.631125230815,74.58542860758789,61.673126005407134,68.82977309044446,77.66619758963077,192.14665692112413,202.63187151756736,179.488450307194,202.95449116940281,170402.7814915426,1,1,1,35
26,78628.04189795257,80278.50386853107,83583.54399596064,85110.43368179134,405.6921286563709,430.72576280246074,398.09547856804863,427.1023649116056,209.55936229865858,225.90887499332362,239.42729062784417,216.8870949589343,191344.66098882144,1,3,2,35
27,55423.69217432779,61064.981833018646,59760.200661894676,78867.54336438431,551.8383329230102,566.8626335605752,517.5769588500052,612.4985400020288,164.36456402675503,218.27538943827642,200.28595019700188,170.49300993857895,238445.8864571335,1,1,1,54
28,85562.64898359697,78901.07934305443,88382.10297474363,84403.60883650336,513.5860322130877,529.8941012898543,564.4976871811763,571.578043377085,200.3655992022367,226.70864901864883,233.56440158732494,232.39929394502678,105598.61240789082,1,1,1,36
29,70082.5482684115,64422.95499637311,52708.672914663126,69928.92583983556,403.2480576332563,449.68823688442825,354.06203394002415,345.1258038568479,370.23247388303724,377.5807771659883,412.76927401617274,359.03782508982806,91980.40075919371,1,2,2,28
30,59418.1741405043,58914.27063751248,58352.52797882678,70528.37826124413,313.6395722211875,314.1043882401644,342.9215345247763,325.8105586205818,313.0845519716635,345.74258449902214,313.6417662621083,351.61924990562403,163022.20150710872,1,1,2,54
31,66301.96245193471,66017.9715425797,41394.64952479745,33257.97532130894,468.62927726578715,472.273450083644,445.3684228032294,471.61967735037064,290.98510783805534,305.81343607595437,313.84008127246034,349.3127769016345,105677.07820379105,1,3,2,48
32,116964.24390969658,113992.47215499311,126855.97780832234,117354.41634869896,274.47498014910457,299.0893530086872,276.113973568687,316.4552145809977,99.7067370498674,152.98829256474392,128.70548891509637,149.86008816844358,152883.91987516102,1,1,1,58
33,68036.43697456346,82722.05316613028,89661.94562206371,84256.93446503441,415.5131367833756,432.2077077885027,488.931456727782,398.12514181098607,148.32086671994884,153.9353866182012,126.69014694615431,159.70191245815678,194544.36763355933,1,2,2,37
34,49417.44050084991,52609.812617555595,68968.38491554743,51158.38055766846,411.023032708683,477.54190080065143,456.5790256176045,421.08424371265625,-18.85425688933966,2.8228680010672633,36.10050652401169,9.670425508894649,130023.1591526709,1,1,2,31
35,87196.984498923,97284.3517518147,100132.3777916012,79131.34400879286,479.3413677073794,484.4093399858738,477.05910597443693,509.9317068296013,145.6668477496351,185.27275404779712,183.13982697022416,184.83379063556166,128195.23864070012,1,1,2,38
36,46939.17601869263,52249.3264445029,29985.696387962224,42374.03010385481,665.8952561993675,659.3039919078376,658.2804899162124,678.5126511369078,290.5957507779342,340.3703571830124,336.7348797379886,359.3221976149982,186283.81722404092,1,1,1,67
37,76768.68664541747,80862.27801709996,71856.74599867192,95640.08614212857,427.0203968297374,417.9440227293147,416.2771601046141,450.5701489104795,265.1239640142884,318.4299180593999,328.19328130169447,308.7288024286022,244391.59250602237,1,2,1,41
38,37019.611587679196,41610.22078203479,42851.58253352183,70394.46911810807,326.17151337842927,381.8652997724142,347.7972672668837,362.4139092358936,192.2339606255984,261.77281867074373,224.46390356573775,236.35278453335928,94049.344638295,1,3,2,68
39,52764.65227786824,53841.50844520149,55062.495055532934,74172.77913561289,379.43544159530126,382.66924540843405,402.6293193244313,407.60040177427646,199.1339786618321,242.3206958180451,201.45580296672472,266.6954639859077,218423.48321037,1,3,1,34
