COMNID,DPAY_SETTLEMENT_AMOUNT_202406,DPAY_SETTLEMENT_AMOUNT_202407,DPAY_SETTLEMENT_AMOUNT_202408,DPAY_SETTLEMENT_AMOUNT_202409,DPOINTS_USE_202406,DPOINTS_USE_202407,DPOINTS_USE_202408,DPOINTS_USE_202409,DPOINTS_GIVE_202406,DPOINTS_GIVE_202407,DPOINTS_GIVE_202408,DPOINTS_GIVE_202409,DCARD_USE_AMOUNT_202406,CONTRACT,CONTRACT_PERIOD,GENDER,AGE
1,108590.73642131666,134434.92519388394,138106.79658744417,137061.32220861566,266.3508215841065,250.75700291996154,258.6168133458905,238.1623010502882,249.79916661738332,257.9890080358567,235.68728381088926,250.12093862125897,234755.78726473302,1,2,2,61
2,99380.07543734695,118054.40801386182,115890.0650735876,124523.08605788577,356.739988257021,400.78361944248746,365.83258332818946,383.00040511381064,229.32151793673037,264.7449411869533,240.77802229754784,219.88619312174941,145828.92875870308,1,2,2,65
3,88567.20676737251,104446.3299863054,101051.7007786219,84064.92450715843,364.76686487053473,369.155848046237,389.572727736824,436.7398749911563,140.9313522368702,134.52504800808344,112.78922053031104,131.91999633432977,256147.8261787577,1,3,1,50
4,79968.14429174569,76993.61850932361,84415.31577920748,99050.13407971659,623.0296781755068,640.9981524474879,687.1611892383227,629.7585492847411,238.2410872252992,225.4863255682955,263.0913180451832,245.44978790801667,227151.03766086575,1,1,2,53
5,88805.34849066108,98593.40211813795,87880.62005675855,120439.87419958955,497.6698613591388,500.5299923394724,527.5733958267485,483.3819666620007,306.6286527745513,352.0157298348889,319.4443757228096,317.56660441825073,253456.17467349648,1,3,2,48
6,92017.3269635265,87598.0631115557,85491.77629947233,113232.33125629502,258.96716311606826,299.4515753919125,343.34019984120926,318.8102218690072,168.37774500834652,181.24430404200805,178.73633028346063,188.0200857858984,261672.4776066373,1,1,1,22
7,105220.26610950659,96934.58348393955,103781.24640365431,146643.76628023677,477.7309595470034,546.3271084730644,495.50454543258144,542.9044318641432,331.2896021589456,365.0780016703675,373.888433956895,375.3756636719541,309308.7377702438,1,1,1,28
8,101604.50589464059,110774.04165572458,112427.11252403675,138362.81747126218,268.5579502273989,296.37467537219965,310.60667307399774,296.5006289077277,320.89311029902296,293.3539159205226,330.7398143141433,333.5461541208662,304061.10924286925,1,1,1,30
9,107586.6910217319,116123.16481059523,96425.86931946895,126339.76080471,525.1752439137924,603.6034575470368,531.3979673707504,520.3508822939534,223.3495355774201,217.34461697021015,236.69150499862565,201.44307516067516,292338.79971535905,1,2,2,30
10,83102.30851846922,78629.56127548503,79191.13878945835,92773.25385635158,392.86307585326557,403.05635097554443,422.87529102572137,406.1750316455348,245.47807992001827,244.80453329045784,264.41179851001107,271.82664775455567,292207.58813769487,1,1,1,44
