以下に、提供された画像の内容を文字に書き出します。
シート名：Sheet1 ビジネス課題
アジェンダ
ビジネス課題（サービス）の整理
データ分析課題の整理
ビジネス課題（サービス軸/策）の整理
サービス/施策の概要
例：d払い（ドコモのQR決済）のキャンペーン
サービス/施策と関連がある方々（ステークホルダー）
例：消費者/加盟店/ドコモ
サービス/施策により恩恵を受ける人/どのような恩恵を受けるのか
例：消費者
決済で通常より多くのポイントがもらえて経済的にトク
例：加盟店
キャンペーンによる集客効果で売り上げが向上する
例：ドコモ
キャンペーンををきっかけに受け取ることでアクティブユーザー数が増える
アクティブユーザー数が増えることで、ポイント付与による加盟店からの収益が逓減する

シート名：ビジネス課題
データ分析課題の整理
目的、アプローチ、問題設定
理想的な状態
例：キャンペーンの効果があるユーザに絞ってポイントを配布することで、ポイント費用が最小化されている
事業観点で何が問題なのか
例：顧客毎のキャンペーンの効果がわからない
問題を解決するための事業的なアプローチ
例：ターゲティング
技術的に実現する方策
例：CATE推定
実現した技術により期待できること
例：ターゲティングによるROIの改善
データ仕様、利用アルゴリズム、実装方針
欲しい結果（もしくはそれの近似的な結果）を得るための最も単純な分析設計は何か
必要最小限のデータ
分析の単位（例：人/店舗/加盟店/市区町村・・・）
分析の時期軸（例：キャンペーン前1か月間/キャンペーン後1か月間）
利用する指標（例：決済金額）
データ処理
例：キャンペーン参加者の決済金額の質化量、キャンペーン不参加者の決済金額の変化量
単純な設計の都合
例：キャンペーン参加者と不参加者の属性の違いを考慮していない
懸念が課題解決を困難にする要因となっていないか
例：重大である。単純比較だと施策参加者と不参加者の属性の違いと因果効果を識別できない。属性の違いによる決済金額の変動が、キャンペーン参加有無により生じる決済金額の変動より大きい可能性が考えられる
懸念に対処する、より洗練したアプローチは何か
Does Residuals-on-Residuals Regression Produce Representative Estimates of Causal Effects? を前提に検証する
※この内容に資する不明点は、他さんに聞いてみましょう。




はい、承知いたしました。
d払い、dカード、dポイントの各サービスで、それぞれ独立したキャンペーンを想定し、同様のフォーマットでビジネス課題を3つ作成します。

-----

### **Sheet1: ビジネス課題**

| アジェンダ | 内容 |
| :--- | :--- |
| **ビジネス課題（サービス）の整理** | dポイント、dカード、d払いの各サービスにおける個別キャンペーンの課題を整理します。 |
| **データ分析課題の整理** | 上記のビジネス課題をデータ分析によってどう解決するかを整理します。 |

#### **ビジネス課題（サービス軸/施策）の整理**

##### **課題1：dポイント（ポイント投資の利用促進）**

| 項目 | 内容 |
| :--- | :--- |
| **サービス/施策の概要** | dポイントを元手に投資体験ができる「ポイント投資」サービスの利用開始を促すキャンペーン。新規に利用開始したユーザーに対し、**投資の元手となるdポイントをプレゼント**する。プレゼントするポイント数は複数パターン存在する。 |
| **ステークホルダー** | dポイント会員（未利用者）、金融サービスパートナー、ドコモ |
| **恩恵を受ける人/内容** | **消費者**: 自己資金を使わずに投資を始めるきっかけを得られる。 \<br\> **金融パートナー**: サービスの利用者が増え、将来的な金融商品への送客が期待できる。 \<br\> **ドコモ**: ポイントの新たな出口を作り、dポイント経済圏の価値を高められる。一方で、**プレゼントするポイントがそのままコスト**となり、費用対効果が合わないリスクがある。 |

-----

##### **課題2：dカード（特定加盟店での利用促進）**

| 項目 | 内容 |
| :--- | :--- |
| **サービス/施策の概要** | dカードを日常的に利用するメインカードにしてもらうためのキャンペーン。スーパーやコンビニなど、特定の加盟店カテゴリでのdカード決済に対し、**ポイント還元率を上乗せ**する。上乗せ倍率は複数パターン存在する。 |
| **ステークホルダー** | dカード会員、特定加盟店、ドコモ |
| **恩恵を受ける人/内容** | **dカード会員**: 日常的な買い物でより多くのポイントが貯まり、お得になる。 \<br\> **特定加盟店**: キャンペーンによりdカード会員の来店・利用が促進され、売上が向上する。 \<br\> **ドコモ**: dカードの決済額・決済回数が増加し、収益が向上する。一方で、**上乗せ分のポイント費用が増大**する。 |

-----

##### **課題3：d払い（請求書払いの利用促進）**

| 項目 | 内容 |
| :--- | :--- |
| **サービス/施策の概要** | d払いアプリの継続利用と生活インフラへの浸透を目的としたキャンペーン。電気・ガスなどの公共料金をd払いの「請求書払い」機能で初めて支払ったユーザーに、**固定額のdポイントを進呈**する。進呈額は複数パターン存在する。 |
